0.095000 0.200000
200.453000 0.205228
406.010000 0.204792
611.250000 0.208582
820.357000 0.207139
1028.079000 0.210226
1238.871000 0.216482
1455.764000 0.216765
1672.840000 0.221060
1894.302000 0.219970
2114.667000 0.223303
2338.559000 0.229732
2568.734000 0.230136
2799.317000 0.234515
3034.261000 0.233485
3268.267000 0.236859
3505.709000 0.235126
3741.144000 0.238008
3979.712000 0.244122
4224.403000 0.244305
4469.295000 0.248530
4718.100000 0.247391
4965.817000 0.250689
5216.962000 0.257095
5474.640000 0.257482
5732.697000 0.261850
5995.006000 0.260811
6256.402000 0.264179
6520.839000 0.262442
6783.861000 0.265321
7049.476000 0.271433
7321.220000 0.271615
7593.410000 0.275838
7869.655000 0.274699
8144.944000 0.277997
8423.481000 0.276210
8700.285000 0.279055
8979.928000 0.276951
9257.258000 0.279573
9537.417000 0.285505
9823.506000 0.285562
10109.649000 0.289697
10399.933000 0.288496
10688.909000 0.291751
10981.189000 0.289934
11271.680000 0.292758
11564.741000 0.290638
11855.961000 0.293251
12149.792000 0.299176
12449.433000 0.299227
12748.967000 0.303359
13052.922000 0.302155
13355.657000 0.305409
13661.452000 0.303590
13965.624000 0.306413
14272.648000 0.304293
14577.520000 0.306905
14884.992000 0.304638
15190.056000 0.307146
15497.504000 0.304806
15802.606000 0.307264
16110.140000 0.313081
16423.511000 0.313057
16736.873000 0.317136
17054.449000 0.315895
17370.903000 0.319123
17690.430000 0.317286
18008.299000 0.320096
18328.740000 0.317967
18646.986000 0.320573
18967.866000 0.318301
19286.608000 0.320807
19607.989000 0.318465
19926.791000 0.320921
20248.019000 0.318545
20567.006000 0.320977
20888.445000 0.318584
21207.596000 0.321005
21529.186000 0.318603
21848.229000 0.321018
22169.764000 0.326805
22497.166000 0.326759
22824.519000 0.330824
23155.896000 0.329573
23485.790000 0.332793
23819.165000 0.330951
24150.589000 0.333758
24484.612000 0.331626
24816.842000 0.334230
25151.662000 0.331957
25483.870000 0.334462
25818.779000 0.332119
26151.482000 0.334576
26486.596000 0.332199
26819.381000 0.334631
27154.319000 0.332238
27487.091000 0.334659
27822.330000 0.332257
28155.043000 0.334672
28490.035000 0.332266
28822.751000 0.334678
29157.842000 0.332271
29490.554000 0.334682
29825.489000 0.332273
30158.354000 0.334683
30493.619000 0.332274
30826.478000 0.334684
31161.687000 0.332275
31494.485000 0.334684
31829.757000 0.332275
32162.592000 0.334685
32497.678000 0.332275
32830.536000 0.334685
33165.532000 0.332275
33498.400000 0.334685
33833.587000 0.332275
34166.109000 0.334685
34501.067000 0.332275
34833.676000 0.334685
35168.640000 0.332275
35501.296000 0.334685
35836.602000 0.332275
36169.450000 0.334685
36504.739000 0.332275
36837.608000 0.334685
37172.888000 0.332275
37505.750000 0.334685
37841.017000 0.332275
38173.890000 0.334685
38508.965000 0.332275
38841.811000 0.334685
39177.057000 0.332275
39509.631000 0.334685
39844.732000 0.332275
40177.568000 0.334685
40512.609000 0.332275
40845.482000 0.334685
41180.651000 0.332275
41513.311000 0.334685
41848.606000 0.332275
42181.467000 0.334685
42516.757000 0.332275
42849.630000 0.334685
43184.675000 0.332275
43517.547000 0.334685
43852.518000 0.332275
44185.385000 0.334685
44520.499000 0.332275
44853.080000 0.334685
45188.355000 0.332275
45521.221000 0.334685
45856.210000 0.332275
46189.080000 0.334685
46524.324000 0.332275
46857.192000 0.334685
47192.471000 0.332275
47525.072000 0.334685
47860.346000 0.332275
48193.206000 0.334685
48528.500000 0.332275
48861.369000 0.334685
49196.649000 0.332275
49529.520000 0.334685
49864.667000 0.332275
50197.238000 0.334685
50532.376000 0.332275
50865.247000 0.326493
51192.101000 0.326541
51519.225000 0.322479
51842.125000 0.323731
52166.295000 0.320512
52487.196000 0.322354
52809.977000 0.319548
53129.954000 0.321680
53452.216000 0.319076
53771.879000 0.321349
54093.550000 0.318844
54412.692000 0.321187
54734.122000 0.318731
55053.142000 0.321108
55374.783000 0.318675
55694.047000 0.321069
56015.418000 0.318648
56334.633000 0.321050
56655.927000 0.318635
56975.144000 0.321040
57296.763000 0.318628
57615.971000 0.321036
57937.415000 0.318625
58256.496000 0.321034
58578.060000 0.318623
58897.270000 0.321032
59218.887000 0.318623
59538.097000 0.321032
59859.580000 0.318622
60179.060000 0.321032
60500.697000 0.318622
60819.717000 0.312839
61133.139000 0.312888
61446.565000 0.308825
61755.975000 0.310078
62066.495000 0.306858
62373.940000 0.308701
62683.201000 0.305895
62989.672000 0.308026
63298.255000 0.305422
63604.240000 0.307696
63912.232000 0.305191
64217.727000 0.307534
64525.846000 0.305078
64831.490000 0.307454
65139.542000 0.305022
65445.068000 0.307415
65752.979000 0.304995
66058.270000 0.307396
66366.244000 0.304981
66671.816000 0.307387
66979.801000 0.304975
67285.335000 0.307382
67592.963000 0.304972
67898.373000 0.307380
68206.191000 0.304970
68511.734000 0.307379
68819.715000 0.304969
69125.204000 0.307379
